scene,timestamp,cam,name,level,severity,source,inherited_from
scene_0,1782614093.641623497,cam0,1782614093.641623497.png,0,无尘,default,
scene_0,1782614093.641623497,cam1,1782614093.641623497.png,0,无尘,default,
scene_0,1782614093.641623497,cam2,1782614093.641623497.png,0,无尘,default,
scene_0,1782614093.641623497,cam3,1782614093.641623497.png,0,无尘,default,
scene_0,1782614093.641623497,cam4,1782614093.641623497.png,0,无尘,default,
scene_0,1782614093.641623497,cam5,1782614093.641623497.png,0,无尘,default,
scene_0,1782614093.910679817,cam0,1782614093.910679817.png,0,无尘,inherited,1782614093.641623497
scene_0,1782614093.910679817,cam1,1782614093.910679817.png,0,无尘,inherited,1782614093.641623497
scene_0,1782614093.910679817,cam2,1782614093.910679817.png,0,无尘,inherited,1782614093.641623497
scene_0,1782614093.910679817,cam3,1782614093.910679817.png,0,无尘,inherited,1782614093.641623497
scene_0,1782614093.910679817,cam4,1782614093.910679817.png,0,无尘,inherited,1782614093.641623497
scene_0,1782614093.910679817,cam5,1782614093.910679817.png,0,无尘,inherited,1782614093.641623497
scene_0,1782614094.172441483,cam0,1782614094.172441483.png,0,无尘,inherited,1782614093.910679817
scene_0,1782614094.172441483,cam1,1782614094.172441483.png,0,无尘,inherited,1782614093.910679817
scene_0,1782614094.172441483,cam2,1782614094.172441483.png,0,无尘,inherited,1782614093.910679817
scene_0,1782614094.172441483,cam3,1782614094.172441483.png,0,无尘,inherited,1782614093.910679817
scene_0,1782614094.172441483,cam4,1782614094.172441483.png,0,无尘,inherited,1782614093.910679817
scene_0,1782614094.172441483,cam5,1782614094.172441483.png,0,无尘,inherited,1782614093.910679817
scene_0,1782614094.433927774,cam0,1782614094.433927774.png,0,无尘,inherited,1782614094.172441483
scene_0,1782614094.433927774,cam1,1782614094.433927774.png,0,无尘,inherited,1782614094.172441483
scene_0,1782614094.433927774,cam2,1782614094.433927774.png,0,无尘,inherited,1782614094.172441483
scene_0,1782614094.433927774,cam3,1782614094.433927774.png,0,无尘,inherited,1782614094.172441483
scene_0,1782614094.433927774,cam4,1782614094.433927774.png,0,无尘,inherited,1782614094.172441483
scene_0,1782614094.433927774,cam5,1782614094.433927774.png,0,无尘,inherited,1782614094.172441483
scene_0,1782614094.695689917,cam0,1782614094.695689917.png,0,无尘,inherited,1782614094.433927774
scene_0,1782614094.695689917,cam1,1782614094.695689917.png,0,无尘,inherited,1782614094.433927774
scene_0,1782614094.695689917,cam2,1782614094.695689917.png,0,无尘,inherited,1782614094.433927774
scene_0,1782614094.695689917,cam3,1782614094.695689917.png,0,无尘,inherited,1782614094.433927774
scene_0,1782614094.695689917,cam4,1782614094.695689917.png,0,无尘,inherited,1782614094.433927774
scene_0,1782614094.695689917,cam5,1782614094.695689917.png,0,无尘,inherited,1782614094.433927774
scene_0,1782614094.957573175,cam0,1782614094.957573175.png,0,无尘,inherited,1782614094.695689917
scene_0,1782614094.957573175,cam1,1782614094.957573175.png,0,无尘,inherited,1782614094.695689917
scene_0,1782614094.957573175,cam2,1782614094.957573175.png,0,无尘,inherited,1782614094.695689917
scene_0,1782614094.957573175,cam3,1782614094.957573175.png,0,无尘,inherited,1782614094.695689917
scene_0,1782614094.957573175,cam4,1782614094.957573175.png,0,无尘,inherited,1782614094.695689917
scene_0,1782614094.957573175,cam5,1782614094.957573175.png,0,无尘,inherited,1782614094.695689917
scene_0,1782614095.227274656,cam0,1782614095.227274656.png,0,无尘,inherited,1782614094.957573175
scene_0,1782614095.227274656,cam1,1782614095.227274656.png,0,无尘,inherited,1782614094.957573175
scene_0,1782614095.227274656,cam2,1782614095.227274656.png,0,无尘,inherited,1782614094.957573175
scene_0,1782614095.227274656,cam3,1782614095.227274656.png,0,无尘,inherited,1782614094.957573175
scene_0,1782614095.227274656,cam4,1782614095.227274656.png,0,无尘,inherited,1782614094.957573175
